step_idx	refined	parent_typ	typ	di	dj	i0	i1	j0	j1	sub_i0	sub_i1	sub_j0	sub_j1	sub_src_total	sub_tgt_total	semantic	length	anchor	surface	gap_penalty	adjustment	trajectory	local_score	step_score	cumulative_score	local_cumulative_score	src_text	tgt_text
1	0		1-1	1	1	0	1	0	1							0.789302	-0.004175	1.000000	0.333333	0.000000	0.050000	-0.000000	0.685199	0.685198	0.685198		Table of contents	Table des matières
2	0		2-2	2	2	1	3	1	3							0.920925	-0.003977	0.038462	0.043478	0.000000	0.050000	-0.000002	0.627352	0.627350	1.312549		Our plan: Building Canada strong Global Generational Shifts Canada can achieve its ambition Our Plan to Build, Protect, and Empower Canada Spending less to invest more Comprehensive Expenditure Review Our Generational Investments An Economy by Canadians, for Canadians Foreword	Notre plan : Bâtir un Canada fort Un monde en pleine transformation Le Canada peut réaliser ses ambitions Notre plan pour bâtir, protéger et renforcer le Canada Réduire les dépenses pour investir davantage Examen exhaustif des dépenses Nos investissements générationnels Une économie par les Canadiens pour les Canadiens Avant-propos
3	1	1-1	1-1	1	1	3	4	3	4	0	1	0	1	5	5	0.879088	-0.008299	0.055556	0.000000	0.000000	0.050000	-0.003097	0.600597	0.597499	1.910048	0.597499	Economic and fiscal overview A Changing World, A New Opportunity A Pivotal Moment for Canada's Economy Building Canada's Future Economy 1. Global Context 2.	Aperçu de la situation économique et budgétaire Un monde en évolution, de nouvelles occasions L'économie canadienne à un tournant Bâtir l'économie canadienne de demain 1.
4	1	1-1	1-1	1	1	3	4	3	4	1	2	1	2	5	5	0.916554	-0.065298	0.166667	0.000000	0.000000	0.050000	-0.001179	0.626871	0.625691	2.535739	1.223190	Canadian Economic Context 3.	Contexte mondial 2. Contexte économique canadien 3.
5	1	1-1	1-1	1	1	3	4	3	4	2	3	2	3	5	5	0.893217	-0.011734	0.200000	0.000000	0.000000	0.050000	-0.002862	0.627448	0.624586	3.160325	1.847777	Canadian Economic Outlook 4.	Perspectives de l'économie canadienne 4.
6	1	1-1	1-1	1	1	3	4	3	4	3	4	3	4	5	5	0.962754	-0.017001	0.166667	0.000000	0.000000	0.050000	-0.000585	0.665174	0.664589	3.824915	2.512366	Building a Strong and Competitive Economy 5.	Bâtir une économie forte et compétitive 5.
7	1	1-1	1-1	1	1	3	4	3	4	4	5	4	5	5	5	0.796221	-0.001059	0.000000	0.000000	0.000000	0.000000	-0.000000	0.493445	0.493445	4.318360	3.005811	Economic Strength Through Fiscal Discipline	Une économie forte grâce à la rigueur budgétaire
8	0		1-1	1	1	4	5	4	5							0.944840	-0.004916	0.185185	0.027778	0.000000	0.050000	-0.000005	0.660281	0.660276	4.978635		Chapter 1: Building a stronger Canadian economy 1.1 Accelerating Major Nation-Building Projects 1.2 Supercharging Growth 1.3 Canada's Climate Competitiveness Strategy 1.4 Increasing Competition	Chapitre 1 : Bâtir une économie canadienne plus forte 1.1 Accélérer la réalisation des grands projets d'intérêt national 1.2 Dynamiser la croissance 1.3 Stratégie de compétitivité climatique du Canada 1.4 Accroître la concurrence
9	0		1-1	1	1	5	6	5	6							0.968784	-0.010132	0.176471	0.090909	0.000000	0.050000	-0.000007	0.676106	0.676100	5.654735		Chapter 2: Shifting from reliance to resilience 2.1 Protecting Canada's Strategic Industries 2.2 Growing Canada's Trade with the World	Chapitre 2 : Passer de la dépendance à la résilience 2.1 Protéger les industries stratégiques du Canada 2.2 Accroître le commerce international du Canada
10	0		1-1	1	1	6	7	6	7							0.901876	-0.006402	0.160000	0.030303	0.000000	0.050000	-0.000005	0.630198	0.630193	6.284928		Chapter 3: Empowering Canadians 3.1 Supercharging Home Building Across the Country 3.2 Tackling Affordability 3.3 Protecting Canadian Culture, Values, and Identity	Chapitre 3 : Donner plus de pouvoir aux Canadiens 3.1 Dynamiser la construction de logements dans tout le pays 3.2 Rendre le coût de la vie plus abordable 3.3 Protéger la culture, l'identité et les valeurs canadiennes
